benchmark_id,split,source_pool,selection_batch,wafer_key,inspection_time,defect_id,pair_key,bright_image_name,dark_image_name,bright_image_path,dark_image_path,query_site,tool_name,chamber,factory_class_label,manual_optical_class,stage_a_orientation,stage_a_context_confidence,stage_b_defect_coarse_class,stage_b_blocked_etch_evidence,stage_b_review_required,adjudicated_by,adjudicated_at_utc,adjudication_status,adjudicated_coarse_class,adjudicated_blocked_etch_evidence,adjudicated_confidence,comparator_visible,occlusion_present,offset_surface_lines_present,sunken_residual_continuity_present,comparator_boundary_line_present,mult_particles_present,review_required_expected,failure_mode_primary,failure_mode_secondary,notes_short
BMK_0077,,non_beep_control,14day_2632,8466156,7/27/2026 3:05,41,8466156_20260727_030538_41,260727_0129_D617109_193_SMP_8M6CL_41_2.jpg,260727_0129_D617109_193_SMP_8M6CL_41_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260727_0129_D617109_193_SMP_8M6CL_41_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM3\260727_0129_D617109_193_SMP_8M6CL_41_3.jpg,D1V,BPD454,AME403_PM3,SMALL_PARTICLE,0,,,,,,,,,b,,,,,,,,,,,,
BMK_0081,,non_beep_control,14day_2632,8466216,7/27/2026 3:05,3,8466216_20260727_030538_3,260727_0142_D617109_187_SMP_8M6CL_3_2.jpg,260727_0142_D617109_187_SMP_8M6CL_3_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM4\260727_0142_D617109_187_SMP_8M6CL_3_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM4\260727_0142_D617109_187_SMP_8M6CL_3_3.jpg,D1V,BPD454,AME403_PM4,SMALL_PARTICLE,0,,,,,,,,,b,,,,,,,,,,,,
BMK_0085,,non_beep_control,14day_2632,8509955,7/26/2026 16:52,1652,8509955_20260726_165227_1652,260726_1604_D618155_630_SMP_8M6CL_1652_2.jpg,260726_1604_D618155_630_SMP_8M6CL_1652_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM4\260726_1604_D618155_630_SMP_8M6CL_1652_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM4\260726_1604_D618155_630_SMP_8M6CL_1652_3.jpg,D1V,BPD432,AME403_PM4,SMALL_PARTICLE,83,,,,,,,,,b,,,,,,,,,,,,
BMK_0092,,non_beep_control,14day_2632,8184745,7/25/2026 23:28,25188,8184745_20260725_232841_25188,260725_2127_D609924_036_SMP_8M5CL_25188_2.jpg,260725_2127_D609924_036_SMP_8M5CL_25188_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM4\260725_2127_D609924_036_SMP_8M5CL_25188_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM4\260725_2127_D609924_036_SMP_8M5CL_25188_3.jpg,D1V,BPD436,AME421_PM4,SMALL_PARTICLE,0,,,,,,,,,b,,,,,,,,,,,,
BMK_0095,,non_beep_control,14day_2632,8524321,7/25/2026 20:12,3295,8524321_20260725_201224_3295,260725_1813_D618205_025_SMP_8M5CL_3295_2.jpg,260725_1813_D618205_025_SMP_8M5CL_3295_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM6\260725_1813_D618205_025_SMP_8M5CL_3295_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM6\260725_1813_D618205_025_SMP_8M5CL_3295_3.jpg,D1V,BPD436,AME427_PM6,SMALL_PARTICLE,0,,,,,,,,,b,,,,,,,,,,,,
BMK_0098,,non_beep_control,14day_2632,8509986,7/25/2026 2:21,8592,8509986_20260725_022120_8592,260725_0052_D618155_631_SMP_8M5CL_8592_2.jpg,260725_0052_D618155_631_SMP_8M5CL_8592_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME401_PM1\260725_0052_D618155_631_SMP_8M5CL_8592_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME401_PM1\260725_0052_D618155_631_SMP_8M5CL_8592_3.jpg,D1V,BPD458,AME401_PM1,SMALL_PARTICLE,,,,,,,,,,b,,,,,,,,,,,,
BMK_0099,,non_beep_control,14day_2632,8472684,7/25/2026 0:04,333,8472684_20260725_000442_333,260724_1740_D617601_340_SMP_8M6CL_333_2.jpg,260724_1740_D617601_340_SMP_8M6CL_333_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME417_PM6\260724_1740_D617601_340_SMP_8M6CL_333_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME417_PM6\260724_1740_D617601_340_SMP_8M6CL_333_3.jpg,D1V,BPD436,AME417_PM6,SMALL_PARTICLE,0,,,,,,,,,b,,,,,,,,,,,,
BMK_0102,,non_beep_control,14day_2632,8466218,7/23/2026 19:47,6781,8466218_20260723_194738_6781,260723_1151_D617108_206_SMP_8M5CL_6781_2.jpg,260723_1151_D617108_206_SMP_8M5CL_6781_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM6\260723_1151_D617108_206_SMP_8M5CL_6781_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME403_PM6\260723_1151_D617108_206_SMP_8M5CL_6781_3.jpg,D1V,BPD436,AME403_PM6,SMALL_PARTICLE,,,,,,,,,,b,,,,,,,,,,,,
BMK_0108,,non_beep_control,14day_2632,8385680,7/23/2026 0:54,837,8385680_20260723_005409_837,260722_1926_D615291_011_SMP_8M6CL_837_2.jpg,260722_1926_D615291_011_SMP_8M6CL_837_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM1\260722_1926_D615291_011_SMP_8M6CL_837_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM1\260722_1926_D615291_011_SMP_8M6CL_837_3.jpg,D1V,BPD448,AME421_PM1,SMALL_PARTICLE,,,,,,,,,,b,,,,,,,,,,,,
BMK_0110,,non_beep_control,14day_2632,8385677,7/23/2026 0:54,1075,8385677_20260723_005409_1075,260722_1910_D615291_025_SMP_8M6CL_1075_2.jpg,260722_1910_D615291_025_SMP_8M6CL_1075_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM2\260722_1910_D615291_025_SMP_8M6CL_1075_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM2\260722_1910_D615291_025_SMP_8M6CL_1075_3.jpg,D1V,BPD448,AME421_PM2,SMALL_PARTICLE,,,,,,,,,,b,,,,,,,,,,,,
BMK_0116,,non_beep_control,14day_2632,8978714,7/22/2026 11:14,3015,8978714_20260722_111419_3015,260722_0946_D613153_191_SMP_8M6CL_3015_2.jpg,260722_0946_D613153_191_SMP_8M6CL_3015_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260722_0946_D613153_191_SMP_8M6CL_3015_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260722_0946_D613153_191_SMP_8M6CL_3015_3.jpg,D1V,BPD446,AME427_PM3,SMALL_PARTICLE,,,,,,,,,,b,,,,,,,,,,,,
BMK_0118,,non_beep_control,14day_2632,8978714,7/22/2026 11:14,337,8978714_20260722_111419_337,260722_0946_D613153_191_SMP_8M6CL_337_2.jpg,260722_0946_D613153_191_SMP_8M6CL_337_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260722_0946_D613153_191_SMP_8M6CL_337_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260722_0946_D613153_191_SMP_8M6CL_337_3.jpg,D1V,BPD446,AME427_PM3,SMALL_PARTICLE,,,,,,,,,,b,,,,,,,,,,,,
BMK_0126,,non_beep_control,14day_2632,,7/22/2026 9:46,3230,_20260722_094600_3230,260722_0946_D613153_191_SMP_8M6CL_3230_2.jpg,260722_0946_D613153_191_SMP_8M6CL_3230_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260722_0946_D613153_191_SMP_8M6CL_3230_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260722_0946_D613153_191_SMP_8M6CL_3230_3.jpg,,BPD446,AME427_PM3,SMALL_PARTICLE,,,,,,,,,,b,,,,,,,,,,,,
BMK_0127,,non_beep_control,14day_2632,,7/22/2026 9:46,3493,_20260722_094600_3493,260722_0946_D613153_191_SMP_8M6CL_3493_2.jpg,260722_0946_D613153_191_SMP_8M6CL_3493_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260722_0946_D613153_191_SMP_8M6CL_3493_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260722_0946_D613153_191_SMP_8M6CL_3493_3.jpg,,BPD446,AME427_PM3,SMALL_PARTICLE,,,,,,,,,,b,,,,,,,,,,,,
BMK_0132,,non_beep_control,14day_2632,8429472,7/22/2026 8:24,467,8429472_20260722_082442_467,260722_0554_D616500_039_SMP_8M6CL_467_2.jpg,260722_0554_D616500_039_SMP_8M6CL_467_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME423_PM4\260722_0554_D616500_039_SMP_8M6CL_467_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME423_PM4\260722_0554_D616500_039_SMP_8M6CL_467_3.jpg,D1V,BPD442,AME423_PM4,SMALL_PARTICLE,,,,,,,,,,b,,,,,,,,,,,,
BMK_0140,,non_beep_control,14day_2632,8444809,7/21/2026 21:53,78,8444809_20260721_215323_78,260721_1926_D616544_017_SMP_8M6CL_78_2.jpg,260721_1926_D616544_017_SMP_8M6CL_78_3.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME419_PM6\260721_1926_D616544_017_SMP_8M6CL_78_2.jpg,\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME419_PM6\260721_1926_D616544_017_SMP_8M6CL_78_3.jpg,D1V,BPD436,AME419_PM6,SMALL_PARTICLE,,,,,,,,,,b,,,,,,,,,,,,
