"pair_key","bright_path","dark_path"
"8923777|2026-07-14 00:07:49|39798","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME425_PM4\260713_2318_D615277_309_SMP_8M6CL_39798_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME425_PM4\260713_2318_D615277_309_SMP_8M6CL_39798_3.jpg"
"8923777|2026-07-14 00:07:49|38855","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME425_PM4\260713_2318_D615277_309_SMP_8M6CL_38855_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME425_PM4\260713_2318_D615277_309_SMP_8M6CL_38855_3.jpg"
"8922143|2026-07-13 02:45:15|192","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260712_1913_D615327_196_SMP_8M6CL_192_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260712_1913_D615327_196_SMP_8M6CL_192_3.jpg"
"8922129|2026-07-13 02:45:15|170","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260712_1858_D615327_200_SMP_8M6CL_170_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260712_1858_D615327_200_SMP_8M6CL_170_3.jpg"
"8922129|2026-07-09 22:33:13|2029","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME425_PM4\260709_1537_D615327_200_SMP_8M5CL_2029_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME425_PM4\260709_1537_D615327_200_SMP_8M5CL_2029_3.jpg"
"8922079|2026-07-13 02:45:15|31","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260712_1846_D615327_197_SMP_8M6CL_31_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME427_PM3\260712_1846_D615327_197_SMP_8M6CL_31_3.jpg"
"8922079|2026-07-09 22:33:13|621","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME425_PM4\260709_1523_D615327_197_SMP_8M5CL_621_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME425_PM4\260709_1523_D615327_197_SMP_8M5CL_621_3.jpg"
"8920049|2026-07-09 20:58:59|1870","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM3\260709_1932_D602107_348_SMP_8M6CL_1870_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM3\260709_1932_D602107_348_SMP_8M6CL_1870_3.jpg"
"8920049|2026-07-09 20:58:59|1749","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM3\260709_1932_D602107_348_SMP_8M6CL_1749_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM3\260709_1932_D602107_348_SMP_8M6CL_1749_3.jpg"
"8920049|2026-07-09 20:58:59|1747","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM3\260709_1932_D602107_348_SMP_8M6CL_1747_2.jpg","\\orshfs.intel.com\ORAnalysis$\1276_MAODATA\Config\etch\AME\tbatson\Defects\BE\images\defects\AME421_PM3\260709_1932_D602107_348_SMP_8M6CL_1747_3.jpg"
