LOT,LOT7,ACTUAL_LOT,WAFER_ID,LAYER,WAFER_KEY,INSPECTION_TIME,DEFECT_ID,CLASS,FINEBIN,WAFER_X_MM,WAFER_Y_MM,IMAGE_COUNT,SUBENTITY,RECIPE,SUBENTITY_END_TIME,INSPECT_TIME,INSPECT_TOOL,PILOT_STATUS,SUM_NCDD,STATUS,BEEP_NCDD,SMP_NCDD
D5512440,D551244,D5512440,A26WA065SLF6,8M5CL,7805135,2026-04-01 20:44:17,1456,BEEP,BEEP,-23.848998,-118.345207,5,AME421_PM2,P_78_GABON_B10_R3,2026-04-01 17:35:14,2026-04-01 20:44:17,BPD450,ICCR2+CV+GF,0.007383,BSL,0.007383,0.0
D5501580,D550158,D5501580,A24EB056SLH1,8M5CL,7768917,2026-04-02 09:26:31,361,SMALL_PARTICLE,SMALL_PARTICLE,-91.229812,4.872984,5,AME423_PM2,P_78_GABON_B10_R3,2026-04-02 08:14:47,2026-04-02 09:26:31,BPD454,ICCR2+CV+GF,0.003659,BSL,0.0,0.003659
D5523320,D552332,D5523320,KJ7HC012WFE2,8M6CL,7836912,2026-04-01 18:33:37,245341,BEEP,BEEP,36.199052,60.813012,4,AME427_PM2,P_78_GABON_R1,2026-04-01 15:14:30,2026-04-01 18:33:37,BPD450,ICCR2+CV+GF,0.01421,BSL,0.007105,0.007105
D5523320,D552332,D5523320,KJ7HC012WFE2,8M6CL,7836912,2026-04-01 18:33:37,245827,SMALL_PARTICLE,SMALL_PARTICLE,-93.34552,-31.878003,4,AME427_PM2,P_78_GABON_R1,2026-04-01 15:14:30,2026-04-01 18:33:37,BPD450,ICCR2+CV+GF,0.01421,BSL,0.007105,0.007105
D5523320,D552332,D5523320,KJ7HC012WFE2,8M6CL,7836912,2026-04-01 18:33:37,245870,BEEP,BEEP,-93.903394,-86.29274,4,AME427_PM2,P_78_GABON_R1,2026-04-01 15:14:30,2026-04-01 18:33:37,BPD450,ICCR2+CV+GF,0.01421,BSL,0.007105,0.007105
D5523320,D552332,D5523320,KJ7HC012WFE2,8M6CL,7836912,2026-04-01 18:33:37,245877,SMALL_PARTICLE,SMALL_PARTICLE,-67.472537,-96.383693,4,AME427_PM2,P_78_GABON_R1,2026-04-01 15:14:30,2026-04-01 18:33:37,BPD450,ICCR2+CV+GF,0.01421,BSL,0.007105,0.007105
D5501580AQ,D550158,D5501580AQ,A22MG081SLG6,8M5CL,8363259,2026-04-02 13:32:26,2338,BEEP,BEEP,63.72936,40.763322,5,AME411_PM1,P_78_GABON_B10_R3,2026-04-02 11:13:55,2026-04-02 13:32:26,BPD444,SRCIP,0.003692,BSL,0.003692,0.0
D5512570,D551257,D5512570,KJ7KG311WFA4,8M5CL,7820815,2026-04-02 13:31:33,1319,BEEP,BEEP,65.444556,-120.989082,5,AME417_PM2,P_78_GABON_B10_R3,2026-04-02 12:29:26,2026-04-02 13:31:33,BPD432,ICCR2+CV+GF,0.003692,BSL,0.003692,0.0
D5501580AQ,D550158,D5501580AQ,A24EB061SLF1,8M5CL,8363213,2026-04-02 13:32:26,1345,BEEP,BEEP,-48.76211,-7.224199,5,AME411_PM1,P_78_GABON_B10_R3,2026-04-02 10:44:56,2026-04-02 13:32:26,BPD444,SRCIP,0.0128139999999999,BSL,0.008543,0.004271
D5501580AQ,D550158,D5501580AQ,A24EB061SLF1,8M5CL,8363213,2026-04-02 13:32:26,2032,BEEP,BEEP,-55.212225,23.983856,5,AME411_PM1,P_78_GABON_B10_R3,2026-04-02 10:44:56,2026-04-02 13:32:26,BPD444,SRCIP,0.0128139999999999,BSL,0.008543,0.004271
D5501580AQ,D550158,D5501580AQ,A24EB061SLF1,8M5CL,8363213,2026-04-02 13:32:26,6880,SMALL_PARTICLE,SMALL_PARTICLE,9.771711,86.837747,5,AME411_PM1,P_78_GABON_B10_R3,2026-04-02 10:44:56,2026-04-02 13:32:26,BPD444,SRCIP,0.0128139999999999,BSL,0.008543,0.004271
D5512570Q,D551257,D5512570Q,KJ7KN375WFC7,8M5CL,8364165,2026-04-02 13:55:00,1470,SMALL_PARTICLE,SMALL_PARTICLE,-116.732439,20.981797,5,AME411_PM1,P_78_GABON_B10_R3,2026-04-02 12:28:38,2026-04-02 13:55:00,BPD458,SRCIP,0.003692,BSL,0.0,0.003692
D6020000,D602000,D6020000,GT5JE702JKB3,8M6CL,7904980,2026-04-02 13:57:28,82,SMALL_PARTICLE,SMALL_PARTICLE,126.114479,-39.324628,4,AME421_PM2,P_78_GABON_R1,2026-04-02 10:55:53,2026-04-02 13:57:28,BPD436,ICCR2+CV+GF,0.003553,BSL,0.0,0.003553
D6015590,D601559,D6015590,A23UP019SLB5,8M5CL,7889923,2026-04-03 00:00:45,24,BEEP,BEEP,-22.970781,-7.431193,5,AME411_PM1,P_78_GABON_B10_R3,2026-04-02 22:30:59,2026-04-03 00:00:45,BPD448,SRCIP,0.003692,BSL,0.003692,0.0
D6015540,D601554,D6015540,GT9FQ001JKD2,8M6CL,7886956,2026-04-02 15:37:12,59,BEEP,BEEP,-73.957443,-18.186372,4,AME417_PM1,P_78_GABON_R1,2026-04-02 14:04:46,2026-04-02 15:37:12,BPD458,CCMR2+ICCR2+CV+GF,0.003584,BSL,0.003584,0.0
D5523420,D552342,D5523420,GT9FQ313JKG2,8M5CL,7849061,2026-04-02 20:24:42,9943,SMALL_PARTICLE,SMALL_PARTICLE,-102.575982,-61.205521,5,AME419_PM5,P_78_GABON_B10_R3,2026-04-02 18:59:58,2026-04-02 20:24:42,BPD444,CCMR2+ICCR2+CV,0.003692,BSL,0.0,0.003692
D5501600,D550160,D5501600,A23SY013SLD0,8M6CL,7772346,2026-04-02 21:11:35,34,SMALL_PARTICLE,SMALL_PARTICLE,97.114313,-68.791679,4,AME423_PM1,P_78_GABON_R1,2026-04-02 18:31:23,2026-04-02 21:11:35,BPD458,ICCR2+CV+GF,0.003584,BSL,0.0,0.003584
D6015610,D601561,D6015610,GT9FQ036JKB1,8M5CL,7889925,2026-04-02 21:26:56,6168,SMALL_PARTICLE,SMALL_PARTICLE,-80.180561,111.067789,5,AME409_PM1,P_78_GABON_B10_R3,2026-04-02 19:16:29,2026-04-02 21:26:56,BPD458,ICCR2+CV+GF,0.003659,BSL,0.0,0.003659
D5512570Q,D551257,D5512570Q,KJ7KG376WFE4,8M5CL,8364206,2026-04-02 13:55:00,119868,SMALL_PARTICLE,SMALL_PARTICLE,74.172278,-97.145535,5,AME411_PM1,P_78_GABON_B10_R3,2026-04-02 12:35:43,2026-04-02 13:55:00,BPD458,SRCIP,0.003659,BSL,0.0,0.003659
D602851A,D602851,D602851A,KJ7KQ481WFF3,8M6CL,8199087,2026-04-02 22:30:05,9432,BEEP,BEEP,-10.324853,-84.073965,4,AME401_PM1,P_78_ROADRUNNER_R1,2026-04-02 16:59:59,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.016236,BSL,0.003247,0.012989
D602851A,D602851,D602851A,KJ7KQ481WFF3,8M6CL,8199087,2026-04-02 22:30:05,9822,SMALL_PARTICLE,SMALL_PARTICLE,-14.217234,-88.287704,4,AME401_PM1,P_78_ROADRUNNER_R1,2026-04-02 16:59:59,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.016236,BSL,0.003247,0.012989
D602851A,D602851,D602851A,KJ7KQ481WFF3,8M6CL,8199087,2026-04-02 22:30:05,10049,SMALL_PARTICLE,SMALL_PARTICLE,-14.373709,-89.872863,4,AME401_PM1,P_78_ROADRUNNER_R1,2026-04-02 16:59:59,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.016236,BSL,0.003247,0.012989
D602851A,D602851,D602851A,KJ7KQ481WFF3,8M6CL,8199087,2026-04-02 22:30:05,10089,SMALL_PARTICLE,SMALL_PARTICLE,-15.024307,-90.863178,4,AME401_PM1,P_78_ROADRUNNER_R1,2026-04-02 16:59:59,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.016236,BSL,0.003247,0.012989
D602851A,D602851,D602851A,KJ7KQ481WFF3,8M6CL,8199087,2026-04-02 22:30:05,10188,SMALL_PARTICLE,SMALL_PARTICLE,-16.674949,-92.677663,4,AME401_PM1,P_78_ROADRUNNER_R1,2026-04-02 16:59:59,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.016236,BSL,0.003247,0.012989
D602851A,D602851,D602851A,KJ7KQ484WFD3,8M6CL,8199064,2026-04-02 22:30:05,61643,SMALL_PARTICLE,SMALL_PARTICLE,103.323269,80.610924,4,AME401_PM2,P_78_ROADRUNNER_R1,2026-04-02 16:59:59,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.020936,HIGHFLIER,0.0,0.020936
D602851A,D602851,D602851A,KJ7KQ484WFD3,8M6CL,8199064,2026-04-02 22:30:05,61649,SMALL_PARTICLE,SMALL_PARTICLE,102.252021,80.783359,4,AME401_PM2,P_78_ROADRUNNER_R1,2026-04-02 16:59:59,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.020936,HIGHFLIER,0.0,0.020936
D602851A,D602851,D602851A,KJ7KQ484WFD3,8M6CL,8199064,2026-04-02 22:30:05,61676,SMALL_PARTICLE,SMALL_PARTICLE,102.75195,81.115042,4,AME401_PM2,P_78_ROADRUNNER_R1,2026-04-02 16:59:59,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.020936,HIGHFLIER,0.0,0.020936
D602851A,D602851,D602851A,KJ7KQ484WFD3,8M6CL,8199064,2026-04-02 22:30:05,61869,SMALL_PARTICLE,SMALL_PARTICLE,104.671784,81.749932,4,AME401_PM2,P_78_ROADRUNNER_R1,2026-04-02 16:59:59,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.020936,HIGHFLIER,0.0,0.020936
D602851A,D602851,D602851A,KJ7KQ484WFD3,8M6CL,8199064,2026-04-02 22:30:05,61900,SMALL_PARTICLE,SMALL_PARTICLE,105.990884,82.953999,4,AME401_PM2,P_78_ROADRUNNER_R1,2026-04-02 16:59:59,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.020936,HIGHFLIER,0.0,0.020936
D602851A,D602851,D602851A,KJ7KQ484WFD3,8M6CL,8199064,2026-04-02 22:30:05,61901,SMALL_PARTICLE,SMALL_PARTICLE,105.604451,82.525868,4,AME401_PM2,P_78_ROADRUNNER_R1,2026-04-02 16:59:59,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.020936,HIGHFLIER,0.0,0.020936
D602851A,D602851,D602851A,KJ7KQ480WFB1,8M6CL,8199089,2026-04-02 22:30:05,6985,SMALL_PARTICLE,SMALL_PARTICLE,-27.631406,-64.473201,4,AME401_PM2,P_78_ROADRUNNER_R1,2026-04-02 17:06:03,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.045361,HIGHFLIER,0.0,0.045361
D602851A,D602851,D602851A,KJ7KQ480WFB1,8M6CL,8199089,2026-04-02 22:30:05,6994,SMALL_PARTICLE,SMALL_PARTICLE,-21.776381,-64.081821,4,AME401_PM2,P_78_ROADRUNNER_R1,2026-04-02 17:06:03,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.045361,HIGHFLIER,0.0,0.045361
D602851A,D602851,D602851A,KJ7KQ480WFB1,8M6CL,8199089,2026-04-02 22:30:05,7148,SMALL_PARTICLE,SMALL_PARTICLE,-38.846477,-70.685939,4,AME401_PM2,P_78_ROADRUNNER_R1,2026-04-02 17:06:03,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.045361,HIGHFLIER,0.0,0.045361
D602851A,D602851,D602851A,KJ7KQ480WFB1,8M6CL,8199089,2026-04-02 22:30:05,7156,SMALL_PARTICLE,SMALL_PARTICLE,32.315542,-70.536633,4,AME401_PM2,P_78_ROADRUNNER_R1,2026-04-02 17:06:03,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.045361,HIGHFLIER,0.0,0.045361
D602851A,D602851,D602851A,KJ7KQ480WFB1,8M6CL,8199089,2026-04-02 22:30:05,7175,SMALL_PARTICLE,SMALL_PARTICLE,12.797774,-71.530942,4,AME401_PM2,P_78_ROADRUNNER_R1,2026-04-02 17:06:03,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.045361,HIGHFLIER,0.0,0.045361
D602851A,D602851,D602851A,KJ7KQ480WFB1,8M6CL,8199089,2026-04-02 22:30:05,7204,SMALL_PARTICLE,SMALL_PARTICLE,-34.299649,-72.672483,4,AME401_PM2,P_78_ROADRUNNER_R1,2026-04-02 17:06:03,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.045361,HIGHFLIER,0.0,0.045361
D602851A,D602851,D602851A,KJ7KQ480WFB1,8M6CL,8199089,2026-04-02 22:30:05,7415,SMALL_PARTICLE,SMALL_PARTICLE,-50.913022,-110.404489,4,AME401_PM2,P_78_ROADRUNNER_R1,2026-04-02 17:06:03,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.045361,HIGHFLIER,0.0,0.045361
D602851A,D602851,D602851A,KJ7KQ480WFB1,8M6CL,8199089,2026-04-02 22:30:05,7428,SMALL_PARTICLE,SMALL_PARTICLE,-35.100495,-111.19302,4,AME401_PM2,P_78_ROADRUNNER_R1,2026-04-02 17:06:03,2026-04-02 22:30:05,BPD446,ICCR2+CV+GF,0.045361,HIGHFLIER,0.0,0.045361
